market_cap,price,dia,capitalizacion propia
1690243200000,0.5304392584994624,1,79708115
1690329600000,0.5126789404117542,2,77039306
1690416000000,0.5434085626782944,3,81656989
1690502400000,0.5578700539035194,4,83830090
1690588800000,0.5410702525187127,5,81305615
1690675200000,0.52003656893238,6,78144923
1690761600000,0.5051344836371036,7,75905614
1690848000000,0.5084473297095987,8,76403429
1690934400000,0.5060813811143154,9,76047903
1691020800000,0.47080908420078277,10,70747601
1691107200000,0.4598258188666481,11,69097166
1691193600000,0.45557130662015366,12,68457848
1691280000000,0.4238709861684454,13,63694300
1691366400000,0.4429107688519278,14,66555373
1691452800000,0.421356045685631,15,63316385
1691539200000,0.42150235276540676,16,63338370
1691625600000,0.4245790382184381,17,63800698
1691712000000,0.41205277642935095,18,61918400
1691798400000,0.4198331039548492,19,63087535
1691884800000,0.4359838848700818,20,65514483
1691971200000,0.42587711406097756,21,63995757
1692057600000,0.4296686391952978,22,64565503
1692144000000,0.36717461078734426,23,55174642
1692230400000,0.3793711690078849,24,57007396
1692316800000,0.37184619765931914,25,55876633
1692403200000,0.40683567151438416,26,61134435
1692489600000,0.4016611142092226,27,60356864
1692576000000,0.40407690381534145,28,60719881
1692662400000,0.41155111709786385,29,61843017
1692738844000,0.38625105412126315,30,58041223
